condition,calibrator,episode,coverage_certified,coverage_allk,steps,success
speed_between,aci max+,4,0.9444444444444444,0.960126889722478,136,1
speed_between,aci max+,5,0.9364787581699346,0.9632863562091504,136,1
speed_between,aci max+,6,0.920843776106934,0.9536609380594343,133,1
speed_between,aci max+,7,0.9460905349794239,0.9527028218694885,135,1
speed_between,aci max+,8,0.9434250764525994,0.9615331937006248,218,1
speed_between,aci max+,9,0.9372571872571873,0.943657847591414,143,1
speed_between,aci max+,10,0.9420463629096723,0.9341161003930788,139,1
speed_between,aci max+,11,0.9332107843137255,0.9445739241695124,136,1
speed_between,aci max+,12,0.96,0.9683333333333334,125,1
speed_between,aci max+,13,0.9428684003152088,0.9584582806214011,141,1
speed_between,aci max+,14,0.9368365180467091,0.9512925267702338,157,1
speed_between,aci max+,15,0.9303418803418804,0.9342522648291879,130,1
speed_between,aci max+,16,0.9558457711442786,0.969001348292393,134,1
speed_between,aci max+,17,0.9557692307692308,0.9718162393162393,130,1
speed_between,aci max+,18,0.9153874269005848,0.946749549792313,152,1
speed_between,aci max+,19,0.929549114331723,0.9557027480034727,138,1
speed_between,aci max+,20,0.9573170731707317,0.9702048252861261,123,1
speed_between,aci max+,21,0.9402133922001472,0.9523740546919355,151,1
speed_between,aci max+,22,0.9355990068280571,0.955500130430298,179,1
speed_between,aci max+,23,0.9331831831831832,0.956034606034606,148,1
speed_between,aci max+,24,0.9486714975845411,0.9764492753623188,138,1
speed_between,aci max+,25,0.939469320066335,0.9590265110787499,134,1
speed_between,aci max+,26,0.961076817558299,0.97857188821695,162,1
speed_between,aci max+,27,0.9195402298850575,0.9343395939947664,145,1
speed_between,aci max+,28,0.9481526429341963,0.9630526599883396,412,1
speed_between,aci max+,29,0.9444444444444444,0.9617735042735043,130,1
speed_between,aci max+,30,0.9348958333333334,0.9610677083333333,128,1
speed_between,aci max+,31,0.9512578616352201,0.977856394129979,159,1
speed_between,aci max+,32,0.9563008130081301,0.9783681765389083,164,1
speed_between,aci max+,33,0.923828125,0.9521304180483868,128,1
speed_between,aci max+,34,0.936130007558579,0.9438146194948915,147,1
speed_between,aci max+,35,0.9670781893004116,0.9866255144032922,162,1
speed_between,aci max+,36,0.9274691358024691,0.9492945326278659,126,1
speed_between,aci max+,37,0.949808429118774,0.9778256704980843,145,1
speed_between,aci max+,38,0.9526819923371648,0.9766858237547893,145,1
speed_between,aci max+,39,0.9453057708871663,0.9690353143841516,129,1
speed_mid,split cp,0,0.9945833333333334,0.998640873015873,600,0
speed_mid,split cp,1,0.9918055555555556,0.9979513888888889,600,0
speed_mid,split cp,2,0.9947222222222222,0.9986458333333333,600,0
speed_mid,split cp,3,0.9944444444444445,0.9986111111111111,600,0
speed_mid,split cp,4,0.9944444444444445,0.9986111111111111,600,0
speed_mid,split cp,5,0.9909722222222223,0.9977430555555555,600,0
speed_mid,split cp,6,0.9922222222222222,0.9980555555555556,600,0
speed_mid,split cp,7,0.9933333333333333,0.9982986111111111,600,0
speed_mid,split cp,8,0.9933333333333333,0.9982986111111111,600,0
speed_mid,split cp,9,0.99375,0.998358134920635,600,0
speed_mid,split cp,10,0.9943055555555556,0.9985763888888889,600,0
speed_mid,split cp,11,0.9931944444444445,0.9981845238095238,600,0
speed_mid,split cp,12,0.9959722222222223,0.9989930555555555,600,0
speed_mid,split cp,13,0.9927777777777778,0.9981597222222223,600,0
speed_mid,split cp,14,0.99375,0.9984027777777778,600,0
speed_mid,split cp,15,0.9945833333333334,0.9986458333333333,600,0
speed_mid,split cp,16,0.9938888888888889,0.9984722222222222,600,0
speed_mid,split cp,17,0.9948611111111111,0.9987152777777778,600,0
speed_mid,split cp,18,0.9931944444444445,0.998287037037037,600,0
speed_mid,split cp,19,0.9940277777777777,0.9985069444444444,600,0
speed_mid,split cp,20,0.9925,0.998125,600,0
speed_mid,split cp,21,0.9931944444444445,0.9982986111111111,600,0
speed_mid,split cp,22,0.9934722222222222,0.9983333333333333,600,0
speed_mid,split cp,23,0.9938888888888889,0.9984722222222222,600,0
speed_mid,split cp,24,0.9941666666666666,0.9985416666666667,600,0
speed_mid,split cp,25,0.995,0.99875,600,0
speed_mid,split cp,26,0.9941666666666666,0.9985416666666667,600,0
speed_mid,split cp,27,0.9929166666666667,0.9981944444444445,600,0
speed_mid,split cp,28,0.9941666666666666,0.9985046296296296,600,0
speed_mid,split cp,29,0.9947222222222222,0.9986805555555556,600,0
speed_mid,split cp,30,0.9931944444444445,0.9982986111111111,600,0
speed_mid,split cp,31,0.9943055555555556,0.9985416666666667,600,0
speed_mid,split cp,32,0.9951388888888889,0.99875,600,0
speed_mid,split cp,33,0.9930555555555556,0.9982638888888888,600,0
speed_mid,split cp,34,0.9951388888888889,0.9987847222222223,600,0
speed_mid,split cp,35,0.9943055555555556,0.9985069444444444,600,0
speed_mid,split cp,36,0.99375,0.9984375,600,0
speed_mid,split cp,37,0.9938888888888889,0.9984722222222222,600,0
speed_mid,split cp,38,0.9940277777777777,0.9984375,600,0
speed_mid,split cp,39,0.9947222222222222,0.9986805555555556,600,0
speed_mid,online cp,0,0.9649691358024691,0.9378818069790292,180,1
speed_mid,online cp,1,0.9808027923211169,0.9618008809108286,191,1
speed_mid,online cp,2,0.9858024691358025,0.9796296296296296,135,1
speed_mid,online cp,3,0.9678819444444444,0.9456231015801329,128,1
speed_mid,online cp,4,0.9905982905982906,0.9813034188034188,195,1
speed_mid,online cp,5,0.9756006006006006,0.9553021771771771,148,1
speed_mid,online cp,6,0.9794600938967136,0.962881455399061,142,1
speed_mid,online cp,7,0.9756493506493507,0.9661796536796536,154,1
speed_mid,online cp,8,0.9801136363636364,0.9659090909090909,176,1
speed_mid,online cp,9,0.9859098228663447,0.9835950080515298,207,1
speed_mid,online cp,10,0.95453216374269,0.9225191889007678,190,1
speed_mid,online cp,11,0.9865125240847784,0.9821772639691715,173,1
speed_mid,online cp,12,0.9846153846153847,0.9777243589743589,130,1
speed_mid,online cp,13,0.9797588285960379,0.9646169793456615,129,1
speed_mid,online cp,14,0.9757751937984496,0.9588097545219638,172,1
speed_mid,online cp,15,0.970714900947459,0.9604698882799658,129,1
speed_mid,online cp,16,0.9815873015873016,0.9609305562162705,175,1
speed_mid,online cp,17,0.9870218579234973,0.9812158469945356,122,1
speed_mid,online cp,18,0.9677938808373591,0.9528847125767416,138,1
speed_mid,online cp,19,0.9779040404040404,0.9565972222222222,132,1
speed_mid,online cp,20,0.9867886178861789,0.9941565040650406,164,1
speed_mid,online cp,21,0.9790209790209791,0.9622668997668997,143,1
speed_mid,online cp,22,0.9829545454545454,0.974905303030303,132,1
speed_mid,online cp,23,0.9871031746031746,0.9754464285714286,252,1
speed_mid,online cp,24,0.9859234234234234,0.9784628378378378,148,1
speed_mid,online cp,25,0.9781746031746031,0.9596560846560847,126,1
